DOW;AUT;ACH;SOI;IDN5;NM5;IDN4;NM4;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811599;Dolná Lehota;509957;Oravský Podzámok;503;Dolný Kubín;5;Žilinský;9312177;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Dolný Kubín;SK0313;Oravský Podzámok;SK0313509957
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811611;Dolná Mariková;512966;Dolná Mariková;306;Považská Bystrica;3;Trenčiansky;22138939;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Považská Bystrica;SK0226;Dolná Mariková;SK0226512966
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811718;Dolná Mičiná;508543;Dolná Mičiná;601;Banská Bystrica;6;Banskobystrický;9463024;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Banská Bystrica;SK0321;Dolná Mičiná;SK0321508543
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811726;Dolná Poruba;505935;Dolná Poruba;309;Trenčín;3;Trenčiansky;22688322;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Trenčín;SK0229;Dolná Poruba;SK0229505935
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811769;Dolná Seč;502171;Dolná Seč;402;Levice;4;Nitriansky;8780377;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Levice;SK0232;Dolná Seč;SK0232502171
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811777;Dolná Streda;555789;Dolná Streda;202;Galanta;2;Trnavský;13467394;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Galanta;SK0212;Dolná Streda;SK0212555789
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811785;Dolná Strehová;515965;Dolná Strehová;610;Veľký Krtíš;6;Banskobystrický;21126928;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Veľký Krtíš;SK032A;Dolná Strehová;SK032A515965
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811840;Dolná Súča;505943;Dolná Súča;309;Trenčín;3;Trenčiansky;26319198;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Trenčín;SK0229;Dolná Súča;SK0229505943
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811874;Dolná Štubňa;512729;Turčianske Teplice;509;Turčianske Teplice;5;Žilinský;15857756;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Turčianske Teplice;SK0319;Turčianske Teplice;SK0319512729
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811904;Dolná Tižina;517518;Dolná Tižina;511;Žilina;5;Žilinský;13117099;Slovensko;SK0;Stredné Slovensko;SK03;Žilinský kraj;SK031;Žilina;SK031B;Dolná Tižina;SK031B517518
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811921;Dolná Trnávka;516724;Dolná Trnávka;613;Žiar nad Hronom;6;Banskobystrický;2846394;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Žiar nad Hronom;SK032D;Dolná Trnávka;SK032D516724
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811939;Dolná Ves;516732;Dolná Ves;613;Žiar nad Hronom;6;Banskobystrický;2367659;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Žiar nad Hronom;SK032D;Dolná Ves;SK032D516732
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811947;Dolná Ždaňa;516741;Dolná Ždaňa;613;Žiar nad Hronom;6;Banskobystrický;8168990;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Žiar nad Hronom;SK032D;Dolná Ždaňa;SK032D516741
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811955;Dolné Držkovce;545651;Veľké Držkovce;301;Bánovce nad Bebravou;3;Trenčiansky;5478553;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Bánovce nad Bebravou;SK0221;Veľké Držkovce;SK0221545651
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811963;Dolné Dubové;506931;Dolné Dubové;207;Trnava;2;Trnavský;10037726;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Trnava;SK0217;Dolné Dubové;SK0217506931
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;811971;Dolné Hámre;516759;Hodruša-Hámre;612;Žarnovica;6;Banskobystrický;12459736;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Žarnovica;SK032C;Hodruša-Hámre;SK032C516759
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;812013;Dolné Kočkovce;557439;Dolné Kočkovce;308;Púchov;3;Trenčiansky;6124523;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Púchov;SK0228;Dolné Kočkovce;SK0228557439
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;812021;Dolné Krškany;500011;Nitra;403;Nitra;4;Nitriansky;11051547;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Nitra;SK0233500011
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;812048;Dolné Lefantovce;582425;Dolné Lefantovce;403;Nitra;4;Nitriansky;4613105;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Dolné Lefantovce;SK0233582425
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;812056;Dolné Mladonice;518301;Dolné Mladonice;605;Krupina;6;Banskobystrický;6420136;Slovensko;SK0;Stredné Slovensko;SK03;Banskobystrický kraj;SK032;Krupina;SK0325;Dolné Mladonice;SK0325518301
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;812072;Dolné Naštice;542849;Dolné Naštice;301;Bánovce nad Bebravou;3;Trenčiansky;4636731;Slovensko;SK0;Západné Slovensko;SK02;Trenčiansky kraj;SK022;Bánovce nad Bebravou;SK0221;Dolné Naštice;SK0221542849
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;812081;Dolné Obdokovce;500194;Dolné Obdokovce;403;Nitra;4;Nitriansky;10186904;Slovensko;SK0;Západné Slovensko;SK02;Nitriansky kraj;SK023;Nitra;SK0233;Dolné Obdokovce;SK0233500194
2021-02-26;GKÚ;Geodetická (< 10 cm);Overený spracovaním;812099;Dolné Orešany;506940;Dolné Orešany;207;Trnava;2;Trnavský;17896371;Slovensko;SK0;Západné Slovensko;SK02;Trnavský kraj;SK021;Trnava;SK0217;Dolné Orešany;SK0217506940
